Futures Contract, Date, Time,Notes,Good Moment (Y|N|N/A)?
/MCL,10/6/23,7:30 AM,"Price has fallen from $90 through $87 and $84, so there and has currently found support around $82. We would see a further drop off this morning to $79 or further towards $74. Or we could see a recovery to $84, $87. As of right now it feels like downwards pressure towards the 70s ",N/A
/MES,10/9/23,7:14 AM,"Demand/Support @4260, price at 4320, Supply/Resistance at 4380. Daily chart is currently bearish and price feels like it's going up, based on a bounce off 4242 on 10/6. That said, price reached a high of 4358 and reject it. If price reverses, we could see a pull back into 4240. On 15m chart, price just went through a breakout from 4310 to 4317 after reaching a low of 4299 at 2am this morning. Price is currently trading in a narrow range at 4315-4322, waiting for a breakout. 5m chart tells the same story as 15m chart. Price is trading slowly right now with ambivalence ",Y
/MCL,10/9/23,7:19 AM,"Price gapped up from $82 to $86 on the daily chart between 10/6 - 10/9 while the market was closed! This was unexpected! Could see a gap down today. Price reached a high of $87, which is the next supply/resistance zone and backed away from it a bit. On 1hr, price gapped from a close of $82.78 to an open of $84.76, reaching a more reasonable/maintained high of $86.40, finding support at $84.86 so far. On 15m, price is trading sideways around $86, poised for a break out. We could see price return to $87 or close the gap back to $83. $87.50 and $88 are the next supply zones. On 5m chart, watch for a move back down to $85.50. or a move back up o $87.10. Current price at $86.16. Price moving slowly & ambivalently while the market decides which direction to break out in",Y
/MCL,10/9/23,8:48 AM,"Today's trading day went really well! I ordered groceries, including berries, so my nutrition is back to being healthy & energetic! I lost once, and kept my risk to at most $10, but really I was right about the direction just too impatient so I ended up stopping out at a $4 loss and then the trade went the direction i had hoped. I re-entered and made up for the loss. I only traded 4 times today (knowing my max is 10 trades) and my goal was to reach at least $50 profit. I reached a daily profit of $55 so a net profit of $35 after fees. What I really liked about today is that I flowed with the market AFTER making solid plans. Then, I breathed a little easier, allowing 0.20 price moves instead of 0.10 price moves, making my trades more efficient. Finally, after reaching my daily goal I STOPPED TRADING FOR THE DAY. (This is back to the wisdom of ""KNOW WHEN TO STOP"".). In truth, I wanted to stay in and reach $100 profit for the day. That said, I know that I'm just starting to rebuild my trading muscles just like my leg muscles for running. There's no point in overdoing it at the beginning. And yet, because I want to keep improving, I will now spend another two hours trading in the simulator. I'm also very happy that today felt more like a fishing day, where I let the trades come to me, deliberately waiting for breakouts at market open, knowing that price was trading in a balanced range",Y
/MES,10/10/23,7:30 AM,"Current price $4372. There's a bullish pattern on the daily chart. Price has support at 4235. Price is trading right around resistance/supply right now of 4365 so there's a question of whether price will break through bullishly trading up to $4443 or if price will fall back towards $4235. We could see $4480 over the next few days if price keeps climbing. Daily candles have a range of ~45-70 points so it's possible to reach $4443 today or to slide back to close to $4300. Waiting for volume/confluence from the market to know direction. 1hr chart shows price has been trading in a very narrow range ($4362 - $4380) since yesterday at 1pm so today might not be a breakout day. Strong support at $4365 since yesterday. 15m and 5m charts show the same. Right now a small trade from $4365-4375 is possible, but it will be more effective to wait for the breakout at market open. Observe that if I do this trade, it is a $50 profit trade, which will meet my goal for the day. RSI is pretty balanced at 47. Have to wait  ",N 
/MCL,10/10/23,7:49 AM,"Current price $85.99. Price has stayed in a tight range around $86 since yesterday's gap up. Because price reached a high of $87.23 yesterday and couldn't go further, I imagine price will close the gap back down to $82.  RSI is pretty balanced at 47 so have to wait. Yesterday's price movement was 2.55 so there will probably be enough price movement to capture $50+, which requires about a 1.00 price movement (2x 0.50 for safety). Support at $85.3. Resistance at $86.70 on 1hr chart. Lots of volatility. 5m chart shows a sell of from 86.30 to 86. So can probably ride the wave back up from $86.70 to $86.30, depending on whether the market decides to keep rebounding or push price lower",N 
/MCL,10/10/23,9:07 AM,"Not feeling too well because of dating life and lack of romantic interest from women. I knew this walking into the day and felt like I could trade through the pain. I started the day with a nice $16 win. Then I had a small $6 loss. Then I had a good $19 win. Then I proceeded to lose all of my profits for the day because of an execution mistake. I bought at 85.94 thinking price would range trade to 86.20. Then the nightmare began. I accidentally bought (again) at 85.80 thinking I had sold to stop out. Also I had set a limit order than I think went through as well, which ended up not being a good idea. So I had to stop out twice for essentially double the loss I had expected. Then, I decided to emotionally re-enter to make up for my losses (bad) and I was drained for the day and knew it. Fortunately I closed the trade at break-even, ending the day with $1 profit before fees lol instead of $50. I thought it was a good idea to go against the current of the trade for some reason and the market said it wanted to push price lower. Also, I did 6 trades today for $30 in fees, which felt like a good place to stop. If I had scaled up to 10 contracts, I would have only earned $10 today, down from $290. So lessons learned: Don't set & forget limit orders if I'm actively trading. Either fully set limit orders with one cancels the other or just trade manually. It's much harder to trade when I'm not feeling good emotionally. So all in all today was a good trading day for learning more about myself. Also, I didn't feel the limit order correctly. Price fell right through it instead of a bounce happening so those are things to be prepared about. Think about reward/risk of 2:1. So if I earn at least 0.20 on each trade I win and lose at most 0.10 on each trade I lose, then after 10 trades, assuming a 50% win rate, I will be up $50. Focus on this. The problem today was really in accidentally scaling up, which I'll now in the simulator just to see how it feels. I was at a $10 ($14) loss and was about to stop out. That's when my limit order kicked in and I didn't know what was happening with my positions. I thought I had closed my position only to find I was still in the trade because of the limit order and it was a losing position. Otherwise, I probably would have been at 5 trades and $15 profit",N 
/MCL,10/11/23,7:01 AM,"Feeling good, happy, and focused today! Current price is $85.39. On the daily chart, price has been trading flat since the gap up on 10/9 with slightly bearish movement overall, hinting at a gap close. On the 1hr chart, price tested a low of $85 at 6am, entering into $84, hinting at price falling (even though price rejected $84. The 15m chart shows a sell off into $84 is imminent, with lower lows being reached. Same on the 5m chart. Price recovered from 84.96 and reached a high of 85.48 before falling off again. I entered short at 85.20 to ride through to 84. Volume is back!  Note RSI is low (35) ",Y
/MES,10/11/23,7:09 AM,"Current price is $4404.5. Volume is back and price is moving slowly still. MES is bullish overall over the past 4 days. Yet price isn't moving quickly. The 1hr chart shows bullish momentum from 4391.5 at 2am to 4405.25 at 7am. That's about 14 points, which would have been $70 per contract. Price is climbing higher towards 4415 heading back towards 4435 over the next few days. On the 15m chart, price is flat hovering around 4404.44. Price appears to be bearish yet the 7am candle closed neutrally with a highly bullish cross. And I'm so wrong, price just super fell through to 4394! MES may be hard to trade! No, it's weird than that. Price also climbed higher at the same time to 4415! It tested both really quickly at the same time somehow! Yet actual price is down to 4399.5 now. So weird. Huge volume! 3x normal! 5m chart shows the same weird price movement. There wouldn't have been a clear way to risk manage this except to wait. Price is back up to 4402. Perhaps 7:30 AM is when people start trading /MES? 4x regular volume now!",Y
/MCL ,10/11/23,7:21 AM,Nice $20 trade to start off the day. Price fell through to $84 as expected. Waiting for the next 0.20 set up/pattern ,Y
