symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESZ3,-2,0,0.25,23603390017,23603390007,1,4393.50,4393.50,$0.00,10/10/2023 21:09:16,10/10/2023 20:59:23,9min 53sec
MESZ3,-2,0,0.25,23603390037,23603390028,1,4393.25,4393.25,$0.00,10/10/2023 21:14:42,10/10/2023 21:13:24,1min 18sec
MESZ3,-2,0,0.25,23603390060,23603390048,1,4394.50,4393.00,$(7.50),10/10/2023 21:36:44,10/10/2023 21:18:02,18min 42sec
MESZ3,-2,0,0.25,23603390071,23603390086,1,4394.50,4393.00,$(7.50),10/10/2023 21:37:10,10/10/2023 21:55:16,18min 5sec
MESZ3,-2,0,0.25,23603390109,23603390097,1,4394.00,4393.00,$(5.00),10/10/2023 22:00:50,10/10/2023 21:55:38,5min 12sec
MESZ3,-2,0,0.25,23603390120,23603390132,1,4394.00,4393.75,$(1.25),10/10/2023 22:00:53,10/10/2023 22:16:08,15min 14sec
MCLX3,-2,0,0.01,23603390154,23603390146,1,84.23,84.44,$21.00,10/11/2023 08:25:47,10/11/2023 08:18:19,7min 27sec
MCLX3,-2,0,0.01,23603390176,23603390185,1,87.13,87.04,$(9.00),10/16/2023 12:13:52,10/16/2023 12:21:56,8min 3sec
MCLX3,-2,0,0.01,23603390201,23603390194,1,86.79,86.98,$19.00,10/16/2023 12:25:02,10/16/2023 12:22:46,2min 16sec
MCLX3,-2,0,0.01,23603390217,23603390210,1,86.51,86.59,$8.00,10/16/2023 12:43:40,10/16/2023 12:29:25,14min 15sec
MCLX3,-2,0,0.01,23603390239,23603390231,1,86.87,86.97,$10.00,10/17/2023 09:08:51,10/17/2023 08:55:50,13min 
MESZ3,-2,0,0.25,23603390266,23603390256,1,4330.50,4334.75,$21.25,10/19/2023 10:34:13,10/19/2023 10:32:50,1min 22sec
MESZ3,-2,0,0.25,23603390277,23603390286,1,4324.50,4330.50,$30.00,10/19/2023 10:41:57,10/19/2023 10:42:19,21sec
MCLZ3,-2,0,0.01,23603390302,23603390313,1,89.29,89.19,$(10.00),10/20/2023 08:52:55,10/20/2023 08:59:48,6min 52sec
MESZ3,-2,0,0.25,23603390347,23603390329,1,4267.75,4262.75,$(25.00),10/20/2023 09:07:34,10/20/2023 09:02:28,5min 6sec
MCLZ3,-2,0,0.01,23603390358,23603390322,1,89.35,89.14,$(21.00),10/20/2023 09:14:36,10/20/2023 09:00:34,14min 1sec
MESZ3,-2,0,0.25,23603390367,23603390338,1,4259.50,4267.75,$41.25,10/20/2023 09:19:14,10/20/2023 09:05:18,13min 55sec
MCLZ3,-2,0,0.01,23603390382,23603390375,1,89.29,89.45,$16.00,10/20/2023 09:26:12,10/20/2023 09:20:26,5min 46sec
MESZ3,-2,0,0.25,23603390400,23603390391,1,4256.50,4258.75,$11.25,10/20/2023 09:31:06,10/20/2023 09:27:57,3min 8sec
MESZ3,-2,0,0.25,23603390425,23603390469,1,4246.75,4252.75,$30.00,10/23/2023 19:46:37,10/23/2023 20:40:36,53min 59sec
MCLZ3,-2,0,0.01,23603390497,23603390486,10,83.79,83.59,$(200.00),10/24/2023 11:23:36,10/24/2023 11:19:18,4min 17sec
MCLZ3,-2,0,0.01,23603390506,23603390516,10,83.81,83.63,$(180.00),10/24/2023 11:23:39,10/24/2023 11:29:29,5min 49sec
MCLZ3,-2,0,0.01,23603390546,23603390525,10,83.87,83.63,$(240.00),10/24/2023 11:34:39,10/24/2023 11:29:32,5min 7sec
MCLZ3,-2,0,0.01,23603390546,23603390532,10,83.87,83.70,$(170.00),10/24/2023 11:34:39,10/24/2023 11:31:15,3min 23sec
MCLZ3,-2,0,0.01,23603390546,23603390539,10,83.87,83.75,$(120.00),10/24/2023 11:34:39,10/24/2023 11:32:08,2min 31sec
MCLZ3,-2,0,0.01,23603390559,23603390566,1,83.87,84.00,$13.00,10/24/2023 11:34:49,10/24/2023 11:54:22,19min 32sec
MCLZ3,-2,0,0.01,23603390559,23603390572,1,83.87,84.00,$13.00,10/24/2023 11:34:49,10/24/2023 11:54:22,19min 32sec
MCLZ3,-2,0,0.01,23603390559,23603390578,3,83.87,84.00,$39.00,10/24/2023 11:34:49,10/24/2023 11:54:24,19min 34sec
MCLZ3,-2,0,0.01,23603390559,23603390584,1,83.87,84.00,$13.00,10/24/2023 11:34:49,10/24/2023 11:54:33,19min 43sec
MCLZ3,-2,0,0.01,23603390559,23603390590,1,83.87,84.00,$13.00,10/24/2023 11:34:49,10/24/2023 11:54:34,19min 44sec
MCLZ3,-2,0,0.01,23603390559,23603390599,3,83.87,83.98,$33.00,10/24/2023 11:34:49,10/24/2023 11:54:57,20min 7sec
MCLZ3,-2,0,0.01,23603390610,23603390617,3,83.77,83.76,$(3.00),10/24/2023 13:53:12,10/24/2023 13:53:19,6sec
