Trade_Id,Symbol,Trade_Open_Datetime,Trade_Close_Datetime,Trade_Quantity,Trade_Direction,Trade_Open_Price,Trade_Close_Price,Trade_PnL,Is_Good_Mood,Is_Good_Energy,Has_Trade_Plan,Is_Good_Trade_Setup,Has_Confirmations,Has_Good_Confirmations,Has_Good_Risk_Reward_Ratio,Has_Executed_Trade,Is_Profitable_Trade,Has_Followed_Plan_Completely,Has_Followed_Plan_Partially,Has_Exited_Early,Has_Stopped_Out_Late,Has_Not_Followed_Plan_At_All,Is_Good_Time_Of_Day_To_Trade,Is_Good_Market_Conditions,Is_Good_Instrument_Conditions,Is_Good_Financial_Instrument,Is_Okay_Financial_Instrument,Is_Bad_Financial_Instrument,Is_Good_Position_Size,Is_Good_Trade_Direction,Is_Would_Have_Been_Profitable,Action_Label
1,MESZ3,2023-10-10T20:59:23,2023-10-10T21:09:16,1,Long,4393.50,4393.50,$0.00,,,,,,,,,,,,,,,,,,,,,,,,
2,MESZ3,2023-10-10T21:13:24,2023-10-10T21:14:42,1,Long,4393.25,4393.25,$0.00,,,,,,,,,,,,,,,,,,,,,,,,
3,MESZ3,2023-10-10T21:18:02,2023-10-10T21:36:44,1,Short,4393.00,4394.50,$(7.50),,,,,,,,,,,,,,,,,,,,,,,,
4,MESZ3,2023-10-10T21:37:10,2023-10-10T21:55:16,1,Short,4393.00,4394.50,$(7.50),,,,,,,,,,,,,,,,,,,,,,,,
5,MESZ3,2023-10-10T21:55:38,2023-10-10T22:00:50,1,Short,4393.00,4394.00,$(5.00),,,,,,,,,,,,,,,,,,,,,,,,
6,MESZ3,2023-10-10T22:00:53,2023-10-10T22:16:08,1,Short,4393.75,4394.00,$(1.25),,,,,,,,,,,,,,,,,,,,,,,,
7,MCLX3,2023-10-11T08:18:19,2023-10-11T08:25:47,1,Short,84.44,84.23,$21.00,,,,,,,,,,,,,,,,,,,,,,,,
8,MCLX3,2023-10-16T12:13:52,2023-10-16T12:21:56,1,Short,87.04,87.13,$(9.00),,,,,,,,,,,,,,,,,,,,,,,,
9,MCLX3,2023-10-16T12:22:46,2023-10-16T12:25:02,1,Short,86.98,86.79,$19.00,,,,,,,,,,,,,,,,,,,,,,,,
10,MCLX3,2023-10-16T12:29:25,2023-10-16T12:43:40,1,Short,86.59,86.51,$8.00,,,,,,,,,,,,,,,,,,,,,,,,
11,MCLX3,2023-10-17T08:55:50,2023-10-17T09:08:51,1,Short,86.97,86.87,$10.00,,,,,,,,,,,,,,,,,,,,,,,,
12,MESZ3,2023-10-19T10:32:50,2023-10-19T10:34:13,1,Short,4334.75,4330.50,$21.25,,,,,,,,,,,,,,,,,,,,,,,,
13,MESZ3,2023-10-19T10:41:57,2023-10-19T10:42:19,1,Short,4330.50,4324.50,$30.00,,,,,,,,,,,,,,,,,,,,,,,,
14,MCLZ3,2023-10-20T07:40:47,2023-10-20T07:44:45,1,Short,88.73,88.88,$(15.00),,,,,,,,,,,,,,,,,,,,,,,,
15,MCLZ3,2023-10-20T07:46:29,2023-10-20T07:48:34,1,Short,89.11,88.87,$24.00,,,,,,,,,,,,,,,,,,,,,,,,
16,MCLZ3,2023-10-20T07:50:03,2023-10-20T07:52:02,1,Short,89.29,89.18,$11.00,,,,,,,,,,,,,,,,,,,,,,,,
17,MCLZ3,2023-10-20T07:57:57,2023-10-20T08:00:49,1,Short,89.35,89.46,$(11.00),,,,,,,,,,,,,,,,,,,,,,,,
18,MCLZ3,2023-10-20T08:01:04,2023-10-20T08:01:50,1,Short,89.64,89.53,$11.00,,,,,,,,,,,,,,,,,,,,,,,,
19,MCLZ3,2023-10-20T08:03:36,2023-10-20T08:05:49,1,Short,89.50,89.60,$(10.00),,,,,,,,,,,,,,,,,,,,,,,,
20,MCLZ3,2023-10-20T08:08:23,2023-10-20T08:10:34,1,Short,89.34,89.20,$14.00,,,,,,,,,,,,,,,,,,,,,,,,
21,MCLZ3,2023-10-20T08:20:58,2023-10-20T08:22:04,1,Short,88.99,88.87,$12.00,,,,,,,,,,,,,,,,,,,,,,,,
22,MESZ3,2023-10-20T08:27:18,2023-10-20T08:28:16,1,Short,4271.00,4273.00,$(10.00),,,,,,,,,,,,,,,,,,,,,,,,
23,MCLZ3,2023-10-20T08:29:01,2023-10-20T08:33:08,1,Short,89.20,89.07,$13.00,,,,,,,,,,,,,,,,,,,,,,,,
24,MCLZ3,2023-10-20T08:52:55,2023-10-20T08:59:48,1,Short,89.19,89.29,$(10.00),,,,,,,,,,,,,,,,,,,,,,,,
25,MCLZ3,2023-10-20T09:00:34,2023-10-20T09:14:36,1,Short,89.14,89.35,$(21.00),,,,,,,,,,,,,,,,,,,,,,,,
26,MESZ3,2023-10-20T09:02:28,2023-10-20T09:07:34,1,Short,4262.75,4267.75,$(25.00),,,,,,,,,,,,,,,,,,,,,,,,
27,MESZ3,2023-10-20T09:05:18,2023-10-20T09:19:14,1,Short,4267.75,4259.50,$41.25,,,,,,,,,,,,,,,,,,,,,,,,
28,MCLZ3,2023-10-20T09:20:26,2023-10-20T09:26:12,1,Short,89.45,89.29,$16.00,,,,,,,,,,,,,,,,,,,,,,,,
