symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MCLZ3,-2,0,0.01,3429478010,3429478021,1,88.88,88.73,$(15.00),10/20/2023 07:40:47,10/20/2023 07:44:45,3min 57sec
MCLZ3,-2,0,0.01,3429478032,3429478041,1,88.87,89.11,$24.00,10/20/2023 07:46:29,10/20/2023 07:48:34,2min 5sec
MCLZ3,-2,0,0.01,3429478052,3429478061,1,89.18,89.29,$11.00,10/20/2023 07:50:03,10/20/2023 07:52:02,1min 58sec
MCLZ3,-2,0,0.01,3429478081,3429478072,1,89.46,89.35,$(11.00),10/20/2023 08:00:49,10/20/2023 07:57:57,2min 52sec
MCLZ3,-2,0,0.01,3429478092,3429478101,1,89.53,89.64,$11.00,10/20/2023 08:01:04,10/20/2023 08:01:50,45sec
MCLZ3,-2,0,0.01,3429478112,3429478121,1,89.60,89.50,$(10.00),10/20/2023 08:03:36,10/20/2023 08:05:49,2min 12sec
MCLZ3,-2,0,0.01,3429478141,3429478132,1,89.20,89.34,$14.00,10/20/2023 08:10:34,10/20/2023 08:08:23,2min 11sec
MCLZ3,-2,0,0.01,3429478161,3429478152,1,88.87,88.99,$12.00,10/20/2023 08:22:04,10/20/2023 08:20:58,1min 6sec
MESZ3,-2,0,0.25,3429478172,3429478182,1,4273.00,4271.00,$(10.00),10/20/2023 08:27:18,10/20/2023 08:28:16,57sec
MCLZ3,-2,0,0.01,3429478193,3429478202,1,89.07,89.20,$13.00,10/20/2023 08:29:01,10/20/2023 08:33:08,4min 7sec
MCLZ3,-2,0,0.01,3429478231,3429478220,1,86.98,87.08,$10.00,10/23/2023 08:14:06,10/23/2023 08:11:38,2min 27sec
MCLZ3,-2,0,0.01,3429478251,3429478242,1,86.99,86.80,$(19.00),10/23/2023 08:16:19,10/23/2023 08:15:32,46sec
MCLZ3,-2,0,0.01,3429478271,3429478262,1,87.15,87.36,$21.00,10/23/2023 08:34:44,10/23/2023 08:24:23,10min 20sec
MCLZ3,-2,0,0.01,3429478291,3429478282,1,87.20,87.41,$21.00,10/23/2023 09:01:12,10/23/2023 08:57:26,3min 46sec
MCLZ3,-2,0,0.01,3429478318,3429478302,1,87.00,87.10,$10.00,10/23/2023 09:31:06,10/23/2023 09:25:18,5min 47sec
MCLZ3,-2,0,0.01,3429478329,3429478341,1,86.81,86.65,$(16.00),10/23/2023 09:33:05,10/23/2023 09:34:13,1min 7sec
MCLZ3,-2,0,0.01,3429478356,3429478368,1,86.69,86.44,$(25.00),10/23/2023 09:35:15,10/23/2023 09:39:17,4min 2sec
MCLZ3,-2,0,0.01,3429478383,3429478409,1,86.45,86.33,$(12.00),10/23/2023 09:40:13,10/23/2023 09:41:22,1min 8sec
MCLZ3,-2,0,0.01,3429478424,3429478443,1,86.51,86.61,$10.00,10/23/2023 09:42:12,10/23/2023 10:01:54,19min 41sec
MCLZ3,-2,0,0.01,3429478467,3429478458,1,86.12,86.16,$4.00,10/23/2023 10:39:18,10/23/2023 10:27:08,12min 9sec
MCLZ3,-2,0,0.01,3429478501,3429478483,1,85.04,84.98,$(6.00),10/24/2023 07:28:58,10/24/2023 07:25:15,3min 42sec
MCLZ3,-2,0,0.01,3429478521,3429478515,1,84.78,84.86,$8.00,10/24/2023 07:30:10,10/24/2023 07:30:08,2sec
MCLZ3,-2,0,0.01,3429478547,3429478538,1,84.81,84.74,$(7.00),10/24/2023 07:32:56,10/24/2023 07:30:15,2min 41sec
MCLZ3,-2,0,0.01,3429478562,3429478574,1,84.87,84.83,$(4.00),10/24/2023 07:35:48,10/24/2023 07:36:42,53sec
MCLZ3,-2,0,0.01,3429478585,3429478601,1,84.90,84.86,$(4.00),10/24/2023 07:38:17,10/24/2023 07:41:36,3min 19sec
MCLZ3,-2,0,0.01,3429478628,3429478616,1,84.89,84.78,$(11.00),10/24/2023 07:54:11,10/24/2023 07:50:43,3min 27sec
MCLZ3,-2,0,0.01,3429478648,3429478639,1,84.96,84.83,$(13.00),10/24/2023 07:56:01,10/24/2023 07:55:13,47sec
MCLZ3,-2,0,0.01,3429478675,3429478663,1,84.78,84.87,$9.00,10/24/2023 08:05:35,10/24/2023 08:00:08,5min 27sec
MCLZ3,-2,0,0.01,3429478690,3429478702,1,83.20,83.30,$10.00,10/24/2023 09:33:56,10/24/2023 09:39:48,5min 51sec
MCLZ3,-2,0,0.01,3429478742,3429478720,1,83.32,83.48,$16.00,10/24/2023 09:54:05,10/24/2023 09:45:05,9min 
MESZ3,-2,0,0.25,3429478761,3429478774,1,4269.00,4265.75,$(16.25),10/24/2023 10:00:14,10/24/2023 10:01:09,55sec
MCLZ3,-2,0,0.01,3429478801,3429478785,1,83.00,83.17,$17.00,10/24/2023 10:13:02,10/24/2023 10:04:30,8min 32sec
MCLZ3,-2,0,0.01,3429478831,3429478819,1,83.51,83.17,$(34.00),10/24/2023 10:30:45,10/24/2023 10:26:31,4min 14sec
MCLZ3,-2,0,0.01,3429478851,3429478842,1,83.44,83.49,$5.00,10/24/2023 10:36:08,10/24/2023 10:31:26,4min 41sec
MCLZ3,-2,0,0.01,3429478875,3429478866,1,83.50,83.33,$(17.00),10/24/2023 10:42:22,10/24/2023 10:41:07,1min 14sec
MCLZ3,-2,0,0.01,3429478886,3429478895,1,83.64,83.69,$5.00,10/24/2023 10:44:14,10/24/2023 10:44:45,30sec
MCLZ3,-2,0,0.01,3429478906,3429478918,1,83.82,83.67,$(15.00),10/24/2023 11:01:12,10/24/2023 11:07:16,6min 3sec
MESZ3,-2,0,0.25,3429478949,3429478930,1,4268.25,4280.25,$60.00,10/24/2023 16:00:03,10/24/2023 14:00:47,1h 59min 15sec
MESZ3,-2,0,0.25,3429478983,3429478961,1,4233.75,4231.25,$(12.50),10/25/2023 07:51:17,10/25/2023 07:47:39,3min 37sec
MESZ3,-2,0,0.25,3429479014,3429479026,1,4234.50,4232.25,$(11.25),10/25/2023 07:57:37,10/25/2023 08:00:09,2min 31sec
MCLZ3,-2,0,0.01,3429478998,3429479038,1,83.60,83.47,$(13.00),10/25/2023 07:52:40,10/25/2023 08:03:30,10min 49sec
MCLZ3,-2,0,0.01,3429479058,3429479049,1,83.29,83.39,$10.00,10/25/2023 08:10:02,10/25/2023 08:09:54,8sec
MCLZ3,-2,0,0.01,3429479081,3429479069,1,83.26,83.20,$(6.00),10/25/2023 08:20:07,10/25/2023 08:12:56,7min 10sec
MCLZ3,-2,0,0.01,3429479100,3429479118,1,83.37,83.26,$(11.00),10/25/2023 08:23:35,10/25/2023 08:28:58,5min 22sec
MCLZ3,-2,0,0.01,3429479109,3429479129,1,83.29,83.25,$(4.00),10/25/2023 08:28:44,10/25/2023 08:29:00,16sec
MCLZ3,-2,0,0.01,3429479140,3429479149,1,82.90,83.02,$12.00,10/25/2023 08:32:09,10/25/2023 08:32:37,28sec
MCLZ3,-2,0,0.01,3429479160,3429479169,1,82.95,83.00,$5.00,10/25/2023 08:35:12,10/25/2023 08:35:34,21sec
MCLZ3,-2,0,0.01,3429479180,3429479189,1,83.07,82.86,$(21.00),10/25/2023 08:36:14,10/25/2023 08:37:19,1min 5sec
NGZ3,-3,0,0.001,3429479231,3429479220,1,3.164,3.169,$50.00,11/13/2023 09:03:04,11/13/2023 09:02:15,49sec
ESZ3,-2,0,0.25,3429479247,3429479257,1,4501.50,4506.25,$237.50,11/14/2023 08:57:22,11/14/2023 09:01:31,4min 9sec
MESZ3,-2,0,0.25,3429479283,3429479273,1,4522.50,4518.50,$(20.00),11/15/2023 08:28:30,11/15/2023 08:15:59,12min 31sec
MESZ3,-2,0,0.25,3429479306,3429479294,1,4524.25,4524.75,$2.50,11/15/2023 08:44:06,11/15/2023 08:40:39,3min 26sec
MESZ3,-2,0,0.25,3429479321,3429479330,1,4519.00,4521.25,$11.25,11/15/2023 08:54:13,11/15/2023 08:54:43,29sec
NGZ3,-3,0,0.001,3429479341,3429479351,1,3.170,3.175,$50.00,11/15/2023 09:04:10,11/15/2023 09:05:33,1min 23sec
MESZ3,-2,0,0.25,3429479372,3429479385,1,4519.25,4516.25,$(15.00),11/17/2023 09:01:12,11/17/2023 09:13:15,12min 2sec
MESZ3,-2,0,0.25,3429479396,3429479409,1,4519.00,4519.75,$3.75,11/17/2023 09:15:16,11/17/2023 09:22:10,6min 54sec
NGZ3,-3,0,0.001,3429479430,3429479420,1,2.952,2.945,$(70.00),11/17/2023 09:40:14,11/17/2023 09:39:01,1min 12sec
NGZ3,-3,0,0.001,3429479441,3429479450,1,2.934,2.925,$(90.00),11/17/2023 09:51:51,11/17/2023 10:05:48,13min 57sec
