20231010 060100;15214.25;15216.75;15210.75;15211.75;291
20231010 060200;15211.5;15211.5;15208;15209.25;137
20231010 060300;15209.75;15210;15208;15209.5;78
20231010 060400;15210.25;15214.5;15209.75;15214.5;339
20231010 060500;15213.75;15217.25;15211;15211.5;177
20231010 060600;15211.25;15214.75;15210.75;15212;148
20231010 060700;15212;15212.75;15204.5;15206.25;213
20231010 060800;15206.5;15206.5;15200;15200.5;405
20231010 060900;15201;15201.75;15195;15198.25;360
20231010 061000;15198.5;15199.5;15194.5;15194.5;175
20231010 061100;15195.25;15197.5;15191.25;15194;312
20231010 061200;15193.25;15196.5;15192.5;15192.5;160
20231010 061300;15192.75;15193;15189;15192.25;340
20231010 061400;15191.75;15194.5;15189.5;15194.25;115
20231010 061500;15194;15197;15192.25;15193.75;147
20231010 061600;15194;15195.25;15190.75;15191.25;97
20231010 061700;15192.75;15195.5;15191.25;15193.25;139
20231010 061800;15193.25;15194;15189;15189.25;165
20231010 061900;15189.5;15191;15187;15190.25;263
20231010 062000;15190.75;15191.5;15188.25;15190.75;140
20231010 062100;15190.75;15193.25;15190;15191.75;90
20231010 062200;15192;15193.75;15190.25;15193.75;77
20231010 062300;15193.25;15194.5;15192.25;15193.75;76
20231010 062400;15194;15196.5;15193.5;15195.75;174
20231010 062500;15195.75;15197.5;15194;15196.75;116
20231010 062600;15197;15201;15196.25;15198;186
20231010 062700;15198;15199.75;15197;15199.75;73
20231010 062800;15199.25;15202;15199;15199.5;113
20231010 062900;15199.5;15200.5;15195.25;15197;96
20231010 063000;15197.25;15200.75;15196.75;15198.5;63
20231010 063100;15198.75;15200.25;15197;15198.75;69
20231010 063200;15200;15201.5;15196.25;15196.25;68
20231010 063300;15196.75;15199.25;15196.75;15198.75;30
20231010 063400;15199.5;15202.5;15199.5;15202;71
20231010 063500;15202.25;15206.75;15202.25;15203.5;183
20231010 063600;15203.5;15206;15202.5;15205.5;90
20231010 063700;15205.25;15209.75;15204.5;15208.5;146
20231010 063800;15207.75;15208;15205.75;15205.75;64
20231010 063900;15205.75;15207.25;15204;15204.25;87
20231010 064000;15204.25;15206.25;15204;15205.25;97
20231010 064100;15205.25;15206.25;15203.25;15204.5;107
20231010 064200;15204.5;15204.5;15201.75;15202.75;63
20231010 064300;15202;15203.5;15200.5;15201.75;91
20231010 064400;15201.5;15203.5;15200.75;15203.5;31
20231010 064500;15204;15204;15199.25;15200.25;93
20231010 064600;15199.75;15200.5;15194.75;15196.25;282
20231010 064700;15196.5;15196.75;15194;15194.5;216
20231010 064800;15194;15196.5;15193.5;15196.25;252
20231010 064900;15196.25;15197.5;15195.25;15197.25;176
20231010 065000;15197.25;15198.5;15197;15197.5;78
20231010 065100;15197.75;15199.25;15197.25;15197.75;70
20231010 065200;15197.75;15198.5;15196.75;15198.25;49
20231010 065300;15198.25;15203.5;15198;15201.75;150
20231010 065400;15201;15202.75;15200.5;15201;64
20231010 065500;15200.75;15203;15200.75;15202;79
20231010 065600;15201.75;15205.75;15201.25;15205.5;148
20231010 065700;15205.25;15205.5;15201.75;15203.5;62
20231010 065800;15203;15204.5;15201.25;15201.5;48
20231010 065900;15201.75;15201.75;15200.25;15201;66
20231010 070000;15201.25;15203.25;15198.75;15201;114
20231010 070100;15200.5;15203.5;15197;15201.5;322
20231010 070200;15202;15206;15199.25;15200.75;290
20231010 070300;15202;15205;15200.75;15204.5;174
20231010 070400;15204.25;15211.5;15203.75;15208.75;333
20231010 070500;15208.75;15210.25;15199.5;15201.75;275
20231010 070600;15201.25;15207;15199.75;15202.75;260
20231010 070700;15203;15213;15201.25;15210.5;325
20231010 070800;15210.5;15212.75;15205;15207.25;211
20231010 070900;15208;15212.25;15206.25;15211;155
20231010 071000;15210.75;15217;15210.5;15215.75;331
20231010 071100;15216.25;15218;15213;15216.75;301
20231010 071200;15217;15217.25;15212.75;15213.75;156
20231010 071300;15213.5;15213.5;15206;15211;371
20231010 071400;15211;15214.5;15209.75;15211.5;146
20231010 071500;15211;15211;15206.75;15208.5;161
20231010 071600;15207.5;15213.75;15207.5;15212.25;121
20231010 071700;15213.5;15214.25;15209.75;15211.25;164
20231010 071800;15211.25;15211.5;15202;15209.75;402
20231010 071900;15209.75;15213.75;15206.5;15210.25;189
20231010 072000;15211;15216.5;15211;15212;258
20231010 072100;15212;15216;15210.75;15214;203
20231010 072200;15215;15226;15214.75;15219.5;609
20231010 072300;15220;15223;15219.25;15221;224
20231010 072400;15220.25;15222.5;15216;15218;156
20231010 072500;15218;15222.5;15217.5;15220.75;217
20231010 072600;15220.25;15222;15212;15212.5;199
20231010 072700;15212.25;15212.75;15206;15207;386
20231010 072800;15207.5;15210.75;15206.25;15209.75;130
20231010 072900;15211;15219;15209;15216.75;278
